1 0 0 1 0
1 1 0 1 0
2 0 1 2 0
2 1 0 1 1
3 0 2 3 0
3 1 0 0 2
4 0 3 4 0
4 1 0 0 10
5 0 4 5 0
5 1 0 20 11
6 0 5 6 0
6 1 0 1 2
7 0 6 7 0
7 1 1 1 1
8 0 7 8 0
8 1 1 2 0
9 0 8 9 0
9 1 0 1 10
10 0 9 5 0
10 0 0 0 0
11 0 5 6 0
11 1 1 1 2
12 0 6 7 0
12 1 1 2 1
13 0 7 8 0
13 1 2 3 0
14 0 8 9 0
14 1 1 2 10
15 0 9 5 0
15 0 0 0 0
16 0 5 6 0
16 1 1 2 2
17 0 6 7 0
17 1 2 3 1
18 0 7 8 0
18 1 3 5 0
19 0 8 9 0
19 1 2 3 10
20 0 9 5 0
20 0 0 0 0
21 0 5 6 0
21 1 2 3 2
22 0 6 7 0
22 1 3 5 1
23 0 7 8 0
23 1 5 8 0
24 0 8 9 0
24 1 3 4 10
25 0 9 5 0
25 0 0 0 0
26 0 5 6 0
26 1 3 5 2
27 0 6 7 0
27 1 5 8 1
28 0 7 8 0
28 1 8 13 0
29 0 8 9 0
29 1 4 5 10
30 0 9 5 0
30 0 0 0 0
31 0 5 6 0
31 1 5 8 2
32 0 6 7 0
32 1 8 13 1
33 0 7 8 0
33 1 13 21 0
34 0 8 9 0
34 1 5 6 10
35 0 9 5 0
35 0 0 0 0
36 0 5 6 0
36 1 8 13 2
37 0 6 7 0
37 1 13 21 1
38 0 7 8 0
38 1 21 34 0
39 0 8 9 0
39 1 6 7 10
40 0 9 5 0
40 0 0 0 0
41 0 5 6 0
41 1 13 21 2
42 0 6 7 0
42 1 21 34 1
43 0 7 8 0
43 1 34 55 0
44 0 8 9 0
44 1 7 8 10
45 0 9 5 0
45 0 0 0 0
46 0 5 6 0
46 1 21 34 2
47 0 6 7 0
47 1 34 55 1
48 0 7 8 0
48 1 55 89 0
49 0 8 9 0
49 1 8 9 10
50 0 9 5 0
50 0 0 0 0
51 0 5 6 0
51 1 34 55 2
52 0 6 7 0
52 1 55 89 1
53 0 7 8 0
53 1 89 144 0
54 0 8 9 0
54 1 9 10 10
55 0 9 5 0
55 0 0 0 0
56 0 5 6 0
56 1 55 89 2
57 0 6 7 0
57 1 89 144 1
58 0 7 8 0
58 1 144 233 0
59 0 8 9 0
59 1 10 11 10
60 0 9 5 0
60 0 0 0 0
61 0 5 6 0
61 1 89 144 2
62 0 6 7 0
62 1 144 233 1
63 0 7 8 0
63 1 233 377 0
64 0 8 9 0
64 1 11 12 10
65 0 9 5 0
65 0 0 0 0
66 0 5 6 0
66 1 144 233 2
67 0 6 7 0
67 1 233 377 1
68 0 7 8 0
68 1 377 610 0
69 0 8 9 0
69 1 12 13 10
70 0 9 5 0
70 0 0 0 0
71 0 5 6 0
71 1 233 377 2
72 0 6 7 0
72 1 377 610 1
73 0 7 8 0
73 1 610 987 0
74 0 8 9 0
74 1 13 14 10
75 0 9 5 0
75 0 0 0 0
76 0 5 6 0
76 1 377 610 2
77 0 6 7 0
77 1 610 987 1
78 0 7 8 0
78 1 987 1597 0
79 0 8 9 0
79 1 14 15 10
80 0 9 5 0
80 0 0 0 0
81 0 5 6 0
81 1 610 987 2
82 0 6 7 0
82 1 987 1597 1
83 0 7 8 0
83 1 1597 2584 0
84 0 8 9 0
84 1 15 16 10
85 0 9 5 0
85 0 0 0 0
86 0 5 6 0
86 1 987 1597 2
87 0 6 7 0
87 1 1597 2584 1
88 0 7 8 0
88 1 2584 4181 0
89 0 8 9 0
89 1 16 17 10
90 0 9 5 0
90 0 0 0 0
91 0 5 6 0
91 1 1597 2584 2
92 0 6 7 0
92 1 2584 4181 1
93 0 7 8 0
93 1 4181 6765 0
94 0 8 9 0
94 1 17 18 10
95 0 9 5 0
95 0 0 0 0
96 0 5 6 0
96 1 2584 4181 2
97 0 6 7 0
97 1 4181 6765 1
98 0 7 8 0
98 1 6765 10946 0
99 0 8 9 0
99 1 18 19 10
100 0 9 5 0
100 0 0 0 0
101 0 5 6 0
101 1 4181 6765 2
102 0 6 7 0
102 1 6765 10946 1
103 0 7 8 0
103 1 10946 17711 0
104 0 8 9 0
104 1 19 20 10
105 0 9 10 0
105 0 0 0 0
