1 0 0 50 0
2 0 50 51 0
3 0 51 52 0
4 0 52 53 0
5 0 53 54 0
6 0 54 55 0
7 0 55 56 0
8 0 56 57 0
8 1 0 1 252
9 0 57 58 0
9 1 0 1 253
10 0 58 59 0
10 1 1 33554432 253
11 0 59 60 0
11 1 33554432 33554431 253
12 0 60 61 0
12 1 0 1 254
13 0 61 62 0
13 1 1 1073741824 254
14 0 62 63 0
14 1 1073741824 1073741823 254
15 0 63 64 0
15 1 0 10 0
16 0 64 65 0
17 0 65 66 0
17 2 0 1 33554431
18 0 66 67 0
18 1 33554431 33554430 253
19 0 67 68 0
19 1 1 0 252
20 0 68 69 0
21 0 69 70 0
22 0 70 71 0
23 0 71 72 0
24 0 72 73 0
25 0 73 74 0
25 1 0 75 252
26 0 74 2 0
27 0 2 3 0
27 1 0 1 251
28 0 3 5 0
29 0 5 6 0
29 1 0 9 1
30 0 6 7 0
30 1 1 33554430 251
31 0 7 8 0
31 2 0 10 33554430
32 0 8 9 0
32 1 10 9 0
33 0 9 10 0
33 1 33554430 33554429 253
34 0 10 11 0
34 2 0 75 33554429
35 0 11 12 0
35 1 33554429 33554428 253
36 0 12 13 0
36 1 75 0 252
37 0 13 14 0
38 0 14 15 0
39 0 15 16 0
40 0 16 17 0
41 0 17 18 0
42 0 18 19 0
42 1 0 20 252
43 0 19 2 0
44 0 2 3 0
44 1 33554430 1 251
45 0 3 5 0
46 0 5 6 0
46 1 9 8 1
47 0 6 7 0
47 1 1 33554428 251
48 0 7 8 0
48 2 0 9 33554428
49 0 8 9 0
49 1 9 8 0
50 0 9 10 0
50 1 33554428 33554427 253
51 0 10 11 0
51 2 0 20 33554427
52 0 11 12 0
52 1 33554427 33554426 253
53 0 12 13 0
53 1 20 0 252
54 0 13 14 0
55 0 14 15 0
56 0 15 16 0
57 0 16 17 0
58 0 17 18 0
59 0 18 19 0
59 1 0 20 252
60 0 19 2 0
61 0 2 3 0
61 1 33554428 1 251
62 0 3 5 0
63 0 5 6 0
63 1 8 7 1
64 0 6 7 0
64 1 1 33554426 251
65 0 7 8 0
65 2 0 8 33554426
66 0 8 9 0
66 1 8 7 0
67 0 9 10 0
67 1 33554426 33554425 253
68 0 10 11 0
68 2 0 20 33554425
69 0 11 12 0
69 1 33554425 33554424 253
70 0 12 13 0
70 1 20 0 252
71 0 13 14 0
72 0 14 15 0
73 0 15 16 0
74 0 16 17 0
75 0 17 18 0
76 0 18 19 0
76 1 0 20 252
77 0 19 2 0
78 0 2 3 0
78 1 33554426 1 251
79 0 3 5 0
80 0 5 6 0
80 1 7 6 1
81 0 6 7 0
81 1 1 33554424 251
82 0 7 8 0
82 2 0 7 33554424
83 0 8 9 0
83 1 7 6 0
84 0 9 10 0
84 1 33554424 33554423 253
85 0 10 11 0
85 2 0 20 33554423
86 0 11 12 0
86 1 33554423 33554422 253
87 0 12 13 0
87 1 20 0 252
88 0 13 14 0
89 0 14 15 0
90 0 15 16 0
91 0 16 17 0
92 0 17 18 0
93 0 18 19 0
93 1 0 20 252
94 0 19 2 0
95 0 2 3 0
95 1 33554424 1 251
96 0 3 5 0
97 0 5 6 0
97 1 6 5 1
98 0 6 7 0
98 1 1 33554422 251
99 0 7 8 0
99 2 0 6 33554422
100 0 8 9 0
100 1 6 5 0
101 0 9 10 0
101 1 33554422 33554421 253
102 0 10 11 0
102 2 0 20 33554421
103 0 11 12 0
103 1 33554421 33554420 253
104 0 12 13 0
104 1 20 0 252
105 0 13 14 0
106 0 14 15 0
107 0 15 16 0
108 0 16 17 0
109 0 17 18 0
110 0 18 19 0
110 1 0 20 252
111 0 19 2 0
112 0 2 3 0
112 1 33554422 1 251
113 0 3 5 0
114 0 5 6 0
114 1 5 4 1
115 0 6 7 0
115 1 1 33554420 251
116 0 7 8 0
116 2 0 5 33554420
117 0 8 9 0
117 1 5 4 0
118 0 9 10 0
118 1 33554420 33554419 253
119 0 10 11 0
119 2 0 20 33554419
120 0 11 12 0
120 1 33554419 33554418 253
121 0 12 13 0
121 1 20 0 252
122 0 13 14 0
123 0 14 15 0
124 0 15 16 0
125 0 16 17 0
126 0 17 18 0
127 0 18 19 0
127 1 0 20 252
128 0 19 2 0
129 0 2 3 0
129 1 33554420 1 251
130 0 3 5 0
131 0 5 6 0
131 1 4 3 1
132 0 6 7 0
132 1 1 33554418 251
133 0 7 8 0
133 2 0 4 33554418
134 0 8 9 0
134 1 4 3 0
135 0 9 10 0
135 1 33554418 33554417 253
136 0 10 11 0
136 2 0 20 33554417
137 0 11 12 0
137 1 33554417 33554416 253
138 0 12 13 0
138 1 20 0 252
139 0 13 14 0
140 0 14 15 0
